pred,label,sample
3.6320393085479736,0.0,COSMIC_687563	SB505124
4.711026668548584,0.0,COSMIC_1240168	Doramapimod
5.8620123863220215,0.0,COSMIC_907313	SB216763
4.487430572509766,0.0,COSMIC_905986	JQ1
5.839578151702881,0.0,COSMIC_687561	Pamidronate
5.443434715270996,0.0,COSMIC_906746	Mitotane
4.883625507354736,0.0,COSMIC_687588	KU-55933
3.9596636295318604,0.0,COSMIC_906835	Mycophenolic acid
5.647594451904297,0.0,COSMIC_946370	Mitotane
3.9283053874969482,0.0,COSMIC_687561	GSK269962A
0.4867672920227051,0.0,COSMIC_907313	Doxorubicin
3.6634671688079834,0.0,COSMIC_909729	ZM447439
3.361555814743042,0.0,COSMIC_909905	SB505124
3.3376810550689697,0.0,COSMIC_687586	Platinum
2.0258967876434326,0.0,COSMIC_1240169	Etoposide
4.143592834472656,0.0,COSMIC_687563	RO-3306
3.4282586574554443,0.0,COSMIC_906746	Streptozocin
4.364981651306152,0.0,COSMIC_907313	Tozasertib
2.763216495513916,0.0,COSMIC_1240169	E7389
1.3784269094467163,0.0,COSMIC_909745	AZD8055
2.852618455886841,0.0,COSMIC_687590	BMS-754807
6.271629333496094,0.0,COSMIC_909905	Fluorouracil
4.973123550415039,0.0,COSMIC_909905	Doramapimod
2.5741093158721924,0.0,COSMIC_687562	Platinum
3.6043288707733154,0.0,COSMIC_906839	Tozasertib
4.3377156257629395,0.0,COSMIC_949094	PF-4708671
4.550154685974121,0.0,COSMIC_906839	Ribociclib
3.8364601135253906,0.0,COSMIC_1240170	Tozasertib
4.290622234344482,0.0,COSMIC_1240168	JQ1
1.8938995599746704,0.0,COSMIC_1240170	Anastrozole
2.384610414505005,0.0,COSMIC_687563	Goserelin
3.501445770263672,0.0,COSMIC_910933	ZM447439
4.2901763916015625,0.0,COSMIC_687586	Ketoconazole
3.8179538249969482,0.0,COSMIC_907313	Streptozocin
6.027785301208496,0.0,COSMIC_687561	Fluorouracil
1.5672470331192017,0.0,COSMIC_1240170	AZD8055
5.702234745025635,0.0,COSMIC_906746	SB216763
5.19512939453125,0.0,COSMIC_909729	Mitotane
4.854691982269287,0.0,COSMIC_1240169	JQ1
2.0046565532684326,0.0,COSMIC_910933	E7389
2.5633790493011475,0.0,COSMIC_946370	Sunitinib
5.918865203857422,0.0,COSMIC_906839	SB216763
2.3090405464172363,0.0,COSMIC_946368	E7389
4.994107723236084,0.0,COSMIC_1240169	AZD6482
5.955607891082764,0.0,COSMIC_906839	Carboplatin
4.458932876586914,0.0,COSMIC_949094	Ribociclib
6.10864782333374,0.0,COSMIC_905983	Pamidronate
4.378178119659424,0.0,COSMIC_949094	AZD6482
2.3215153217315674,0.0,COSMIC_905986	E7389
0.14557209610939026,0.0,COSMIC_687561	Doxorubicin
2.0771262645721436,0.0,COSMIC_907313	Leuprolide
5.57436990737915,0.0,COSMIC_687590	SB216763
5.179174423217773,0.0,COSMIC_1240168	Mitotane
1.8841851949691772,0.0,COSMIC_909905	Anastrozole
5.4130754470825195,0.0,COSMIC_946370	KU-55933
1.9504472017288208,0.0,COSMIC_910933	Anastrozole
